"(Shift-)Click or drag to change value","Drücken Sie Shift(Grossschreibung), klicken oder ziehen Sie, um den Wert zu verändern"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Gross-/Kleinschreibung des CAPTCHA beachten."
"An error occurred while finishing process. Please refresh the cache","Ein Fehler ist beim Abschliessen dieses Prozesses aufgetreten. Bitte aktualisieren Sie den Cache"
"Close","Schliessen"
"Description","Beschrieb"
"Enclose Values In:","Umschliesse Werte in:"
"Exclude media folder from backup","Medienordner vom Backup ausschliessen"
"File size should be more than 0 bytes","Datei sollte grösser als Null Byte sein"
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ungültiger Sender Name ""%s"". Bitte verwenden Sie ausschliesslich sichtbare Zeichen und keine Leerräume."
"Manage Titles (Size, Color, etc.)","Titel verwalten (Grösse, Farbe usw.)"
"One or more of the Cache Types are invalidated:","Eine oder mehr Cache-Arten sind ausser Kraft:"
"Payment method must be specified.","Zahlweise muss angegeben werden"
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl grösser 0 in dieses Feld ein."
"Please enter another credit card number to complete your purchase.","Bitte geben Sie eine weitere Kreditkartennummer ein, um Ihre Bestellung abzuschliessen."
"Please select State/Province.","Bitte Kanton/Bundesland wählen."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte nur Ziffern in diesem Feld verwenden. Vermeiden Sie Leerschlag oder andere Zeichen ausser Punkt oder Komma."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bitte nur Buchstaben (a-z oder A-Z), Ziffern (0-9) und Leerschlag für dieses Feld verwenden."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bitte nur Buchstaben (a-z), Ziffern (0-9) oder Leerschlag und # in diesem Feld verwenden."
"Profile Schedule","Termingemässes Profil"
"Queue Refresh","Aktualisierung anstossen"
"Region/State","Kanton/Bundesland"
"Resize","Grössenanpassung"
"Shipping method must be specified.","Versandart muss angegeben werden"
"Size for %s","Grösse für %s"
"State/Province:","Kanton/Bundesland:"
"The Layered Navigation indexing has been queued.","Die Warteschlange der Indizierung der Filterbaren Navigation wurde angestossen."
"Uploaded file is larger than %.2f kilobytes allowed by server","Die hochgeladene Datei ist grösser als die vom Server erlaubten %.2f KB"
"View Full Size","Originalgrösse"
"Warning: Please do not close the window during importing/exporting data","Warnung: Bitte schliessen Sie das Fenster nicht während des Import-/Export Vorgangs"
"We appreciate our merchants\' feedback, please <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">take our survey</a> to provide insight on the features you would like included in Magento. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Remove this notification</a>","Die Meinung unserer Kunden ist uns wichtig, bitte <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">nehmen Sie an unserer Umfrage teil</a>, um Wünsche zu äussern. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Diesen Hinweis ausblenden</a>"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Ihre PHP-Einstellungen verbietet den Upload von höchstens %s. Bitte ändern Sie die Werte für  post_max_size (momentan %s) und upload_max_filesize (momentan %s) in der php.ini wenn Sie grössere Dateien hochladen möchten."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Ihr Webserver ist falsch konfiguriert. Konfigurations-Dateien mit sensiblen Informationen sind von aussen zugreifbar. Bitte kontaktieren Sie Ihren Hosting Provider."
"close","schliessen"
