"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warnung:</strong> Die standardmässige Anwendung der UVP wird alle Artikelpreise im Laden verstecken!"
"Close Window","Fenster schliessen"
"Country/State","Land/Kanton/Bundesland"
"Double click on above image to view full picture","Klicken Sie doppelt auf das obere Bild, um es in voller Grösse zu sehen"
"Duplicate website, country and state tax found.","Doppelter Eintrag für Kanton/Bundesland- und Landes-Steuern auf Webseiten-Ebene."
"Enable for reindexing a big number of SKUs.","Aktivieren, um eine grosse Anzahl von Artikeln zu reindizieren."
"Manage Titles (Size, Color, etc.)","Bezeichnungen verwalten (Grösse, Farbe, etc.)"
"Maximum Image Size","Maximale Bildgrösse"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal zulässige Bildgrösse für '%s' ist %sx%s px."
"Please click on the Close Window button if it is not closed automatically.","Bitte klicken Sie auf den ""Fenster schliessen""-Button, falls es nicht automatisch schliessen sollte."
"Product Description","Artikelbeschrieb"
"Retrieve products list by filters","Artikelliste gemäss Filter abrufen"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Die Datei '%s', die Sie hochladen wollen, ist grösser als die maximal zulässigen %s Megabyte."
"The file you uploaded is larger than %s Megabytes allowed by server","Die Datei, die Sie hochladen wollen, ist grösser als die maximal zulässigen %s Megabyte."
"Watermark Default Size","Wasserzeichen Standardgrösse"
"Zoom In","Vergrössern"
