"Language Packs","Paquets de Langue"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Votre Locale Pack ne correspond pas à votre version Magento. <a href='%s'>Obtenez plus d'informations ici.</a>"
"Switzerland","Suisse"
"German (Switzerland)","Allemand (Suisse)"
"German language package de_CH - Community Edition (CE)","Paquet de langue suisse allemand de_CH - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","Sur la <a href='%s'>Magento Connect page du pack de langue suisse allemand</a> que vous trouverez de plus amples informations sur les versions actuelles."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Pour les intéressés, il est un <a href='%s'>dépôt GitHub</a>. Il est prévu pour les fins suivantes:"
"Development of current language pack versions","Développement de versions de pack de langues actuelle"
"Report an error / send in patches, also happy for both published releases","Signaler une erreur / envoyer un patch, aussi heureux pour les deux communiqués publiés"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","La participation active dans la language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Remarque pour des informations détaillées, le fichier README sur la page GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Afin d'assurer la couverture de la traduction Magento, s'il vous plaît voir les informations dans les paragraphes plus bas!"
"powered by","alimenté par"
"and","et"
"Using your own translations","Utilisation de vos propres traductions"
"Recommended extensions","Extensions recommandées"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Le pack de langue installée seulement fournit des traductions de textes existants dans Magento. Si vous voulez préparer votre boutique Magento sur les exigences juridiques en %s ou développer des modes de paiement, nous vous recommandons d'installer les extensions suivantes."
"Specific market adjustment for","Ajustement du marché spécifique pour"
"Swiss and European stores","les magasins suisses et européens"
"Preconfigured for the Swiss market","Préconfiguré pour le marché suisse"
"Currently not available","Actuellement pas disponible"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Remarque:</b> Installez l'extension %s, de sorte que vous pouvez utiliser <span style='color:red; font-weight:bold;'>%s</span> comme un <a href='%s'>repli langue</a>."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Remarque:</b> Installez le package de langue %s, de l'utiliser comme un <a href='%s'>repli langue</a>."
"Common payment methods","Des modes de paiement"
"Debit / direct debit","Débit / débit direct"
"Cash On Delivery","Paiement à la livraison"
"Payment in Advance","Paiement anticipé"
"Extension Key for the","EClé d'extension pour le"
"on","sur"
"More Infos here soon!","Plus d'infos ici bientôt!"
