"Language Packs","Pacchetto di Lingua"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attenzione: Il tuo pacchetto locale non corrisponde alla sua Versione di Magento. <a href='%s'>Ottieni maggiori informazioni qui.</a>"
"Switzerland","Svizzera"
"German (Switzerland)","Tedesco (Svizzera)"
"German language package de_CH - Community Edition (CE)","Pacchetto in lingua tedesca de_CH - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Il language pack <span style='color:red'>%s</span> nella versione <span style='color:red'>%s</span> è stato installato correttamente."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","Nella <a href='%s'>pagina Magento Connect del pacchetto in lingua svizzero tedesco</a>, puoi trovare maggiori informazioni sulle ultime versioni."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Per chi è interessato c'è un <a href='%s'>repository GitHub</a>. È fornito per i seguenti scopi:"
"Development of current language pack versions","Sviluppo delle versioni attuali del pacchetto di lingua"
"Report an error / send in patches, also happy for both published releases","Segnala un errore / invia patch, anche felice per entrambe le versioni pubblicate"
"Alternative Downloads (regardless of official sources)","Download alternativi (indipendentemente dalle fonti ufficiali)"
"Copy / forks for their own purposes","Copia / forchette per i propri scopi"
"Active participation in the language pack","Partecipazione attiva al pacchetto linguistico"
"View Preview versions & test","Visualizza versioni e test di anteprima"
"Note for detailed information, the README file on the GitHub page.","Nota per informazioni dettagliate, il file README sulla pagina GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Per garantire la copertura di Magento di traduzione, vedere le informazioni nei paragrafi inferiori!"
"powered by","offerto da"
"and","e"
"Using your own translations","Usa le sue traduzioni"
"Recommended extensions","Estensioni consigliate"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in %s vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for","Regolazione specifica di mercato per"
"Swiss and European stores","Negozi svizzeri ed europei"
"Preconfigured for the Swiss market","Preconfigurato per il mercato svizzero"
"Currently not available","Attualmente non disponibile"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Suggerimento:</b> Installa l'estensione %s in modo da poter utilizzare <span style='color:red; font-weight:bold;'>%s</span> come <a href='%s'>lingua alternativa</a>."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Suggerimento:</b> Installa il pacchetto in lingua %s per usarlo come una <a href='%s'>lingua di riserva</a>."
"Common payment methods","Metodi di pagamento comuni"
"Debit / direct debit","Debit / direct debit"
"Cash On Delivery","Cash On Delivery"
"Payment in Advance","Payment in advance"
"Extension Key for the","Chiave di estensione per"
"on","su"
"More Infos here soon!","Più informazioni qui presto!"
